Wavelength (Angstroms), Normalized intensity, Element
7770.238, 9845, 
7770.24, 9844, 
7770.242, 9842, 
7770.244, 9841, 
7770.246, 9840, 
7770.248, 9839, 
7770.25, 9838, 
7770.252, 9837, 
7770.254, 9836, 
7770.256, 9835, 
7770.258, 9834, 
7770.26, 9833, 
7770.262, 9832, 
7770.264, 9831, 
7770.266, 9831, 
7770.268, 9830, 
7770.27, 9829, 
7770.272, 9828, 
7770.274, 9828, 
7770.276, 9827, 
7770.278, 9827, 
7770.28, 9827, 
7770.282, 9827, 
7770.284, 9827, 
7770.286, 9828, 
7770.288, 9828, 
7770.29, 9828, 
7770.292, 9829, 
7770.294, 9828, 
7770.296, 9829, 
7770.298, 9830, 
7770.3, 9831, 
7770.302, 9832, 
7770.304, 9833, 
7770.306, 9834, 
7770.308, 9835, 
7770.31, 9836, 
7770.312, 9837, 
7770.314, 9839, 
7770.316, 9840, 
7770.318, 9840, 
7770.32, 9842, 
7770.322, 9843, 
7770.324, 9844, 
7770.326, 9846, 
7770.328, 9847, 
7770.33, 9848, 
7770.332, 9849, 
7770.334, 9851, 
7770.336, 9851, 
7770.338, 9852, 
7770.34, 9853, 
7770.342, 9854, 
7770.344, 9855, 
7770.346, 9856, 
7770.348, 9857, 
7770.35, 9857, 
7770.352, 9858, 
7770.354, 9859, 
7770.356, 9860, 
7770.358, 9860, 
7770.36, 9861, 
7770.362, 9862, 
7770.364, 9863, 
7770.366, 9863, 
7770.368, 9864, 
7770.37, 9866, 
7770.372, 9866, 
7770.374, 9867, 
7770.376, 9868, 
7770.378, 9869, 
7770.38, 9871, 
7770.382, 9871, 
7770.384, 9872, 
7770.386, 9873, 
7770.388, 9874, 
7770.39, 9875, 
7770.392, 9876, 
7770.394, 9877, 
7770.396, 9879, 
7770.398, 9879, 
7770.4, 9879, 
7770.402, 9880, 
7770.404, 9880, 
7770.406, 9881, 
7770.408, 9882, 
7770.41, 9883, 
7770.412, 9884, 
7770.414, 9885, 
7770.416, 9885, 
7770.418, 9885, 
7770.42, 9886, 
7770.422, 9888, 
7770.424, 9889, 
7770.426, 9889, 
7770.428, 9890, 
7770.43, 9890, 
7770.432, 9891, 
7770.434, 9892, 
7770.436, 9893, 
7770.438, 9893, 
